,new_machine,cost,revenue
472,1,3.59,26.86
473,1,7.0,58.68
474,0,8.45,80.15
475,1,4.34,37.62
476,1,4.56,33.62
477,0,10.32,99.76
478,1,15.68,152.88
479,0,1.8,14.4
480,1,0.66,0.0
481,0,1.04,7.11
482,0,0.5,3.32
483,1,2.43,14.61
484,1,1.19,1.65
485,1,3.18,24.5
486,0,1.45,11.47
487,1,6.89,64.81
488,0,10.31,98.86
489,0,2.37,19.81
490,0,0.96,5.81
491,0,2.69,23.89
492,0,6.81,63.87
493,1,2.49,13.0
494,1,3.28,22.05
495,0,0.95,5.11
496,0,1.82,14.91
497,0,1.54,13.26
498,0,0.86,5.11
499,1,2.69,20.47
500,1,1.85,8.22
501,1,1.95,10.05
502,0,2.23,17.79
503,0,4.17,37.53
504,1,1.25,7.37
505,0,7.74,72.63
506,0,5.95,57.2
507,1,0.96,0.0
508,1,1.58,7.52
509,0,1.77,13.09
510,1,0.44,0.6
511,0,1.29,9.01
512,0,4.04,37.27
513,1,4.35,32.37
514,0,2.92,26.6
515,1,4.14,35.12
516,1,1.33,2.25
517,0,1.25,7.9
518,0,3.38,29.19
519,1,7.04,61.39
520,0,2.35,19.4
521,0,1.0,6.3
522,0,0.09,0.0
523,1,4.55,36.0
524,1,0.86,0.0
525,1,1.59,11.36
526,0,2.27,19.16
527,0,7.66,71.79
528,0,0.28,0.0
529,1,2.41,11.76
530,1,0.2,0.0
531,1,1.7,9.51
532,1,3.63,26.38
533,0,0.98,6.14
534,0,0.71,3.64
535,1,1.08,1.1
536,0,2.58,23.72
537,0,3.56,33.16
538,1,3.65,31.11
539,1,8.95,82.57
540,0,0.01,0.0
541,1,3.43,30.62
542,1,3.18,25.95
543,0,2.67,22.78
544,0,9.87,94.99
545,1,0.53,0.0
546,0,3.58,30.1
547,0,5.04,45.73
548,1,3.0,20.17
549,0,1.22,6.53
550,0,4.69,43.97
551,0,0.31,0.0
552,0,1.75,13.18
553,0,2.2,17.45
554,1,4.46,32.48
555,1,1.09,0.0
556,0,0.78,3.07
557,0,1.58,12.78
558,0,2.93,25.2
559,0,6.54,60.79
560,1,3.2,24.97
561,1,1.37,3.34
562,1,12.49,113.89
563,0,6.16,58.45
564,1,2.45,19.18
565,1,7.75,74.73
566,0,2.34,20.8
567,1,8.02,74.35
568,1,5.96,50.21
569,0,10.35,99.33
570,1,8.25,73.91
571,0,0.11,0.0
572,0,0.58,1.04
573,1,2.11,12.91
574,1,9.7,89.43
575,1,1.26,6.05
576,0,0.52,0.75
577,1,6.76,61.75
578,0,1.77,13.92
579,1,7.93,69.91
580,0,0.52,2.05
581,1,4.03,29.17
582,1,2.11,13.95
583,1,0.75,0.39
584,1,4.2,31.24
585,0,0.85,4.1
586,1,0.92,0.04
587,1,0.51,0.0
588,1,0.32,0.0
589,0,7.15,66.53
590,0,4.04,36.46
591,0,6.85,65.1
592,1,4.2,30.09
593,1,3.03,19.09
594,1,1.2,5.42
595,0,18.59,182.11
596,0,1.35,10.85
597,1,2.74,16.87
598,1,2.3,13.54
599,1,11.93,113.24
600,1,1.3,3.54
601,0,1.19,7.58
602,0,3.42,30.27
603,0,0.2,0.0
604,1,3.49,25.58
605,0,1.95,15.52
606,1,1.26,7.24
607,0,0.82,5.68
608,1,3.08,19.05
609,1,1.99,10.56
610,0,1.83,15.59
611,1,1.54,9.85
612,0,10.57,102.37
613,1,0.74,1.66
614,0,0.31,0.0
615,1,2.21,11.98
616,0,2.68,23.7
617,1,4.02,29.23
618,1,2.46,12.07
619,1,22.07,213.29
620,0,1.3,8.26
621,0,3.83,33.88
622,0,3.04,26.45
623,0,5.03,46.61
624,1,11.49,108.12
625,0,6.62,63.18
626,1,4.5,39.51
627,1,4.44,31.61
628,0,1.23,9.26
629,0,0.48,0.0
630,1,0.41,0.0
631,1,1.78,5.73
632,0,1.7,13.86
633,0,2.21,20.18
634,0,4.45,40.3
635,0,9.56,91.25
636,0,0.37,0.0
637,1,0.34,0.0
638,0,2.67,23.49
639,1,4.13,37.33
640,1,6.54,54.44
641,0,8.24,76.32
642,0,12.3,118.56
643,1,1.85,11.65
644,0,1.44,11.1
645,0,0.48,1.33
646,1,4.15,32.1
647,0,3.21,28.95
648,0,5.94,55.55
649,1,0.54,0.0
650,0,2.07,17.06
651,1,2.82,22.99
652,0,0.83,4.93
653,0,0.56,0.92
654,0,5.89,54.59
655,0,0.18,0.0
656,1,2.76,16.67
657,0,0.37,0.88
658,0,1.83,14.25
659,1,12.12,114.56
660,1,2.44,14.15
661,1,6.07,54.43
662,0,0.37,0.0
663,1,1.22,6.37
664,0,1.55,12.08
665,0,1.53,10.33
666,1,3.4,30.05
667,1,2.01,10.98
668,0,3.75,32.77
669,1,3.08,26.97
670,0,1.53,12.42
671,0,1.7,13.71
672,0,2.86,25.08
673,0,0.22,0.0
674,1,5.6,48.41
675,0,3.18,27.25
676,0,3.89,33.8
677,1,2.47,21.87
678,0,0.35,0.0
679,0,1.56,10.66
680,1,1.83,13.19
681,1,1.26,8.47
682,0,0.09,0.0
683,0,4.01,36.47
684,1,0.45,0.86
685,1,3.53,26.47
686,0,3.64,32.26
687,1,3.72,27.92
688,1,10.55,95.39
689,1,0.78,0.0
690,1,6.12,57.03
691,1,0.37,0.0
692,0,2.3,19.35
693,1,2.05,11.95
694,0,2.23,21.41
695,1,2.36,11.56
696,0,0.63,2.64
697,0,0.06,0.0
698,1,2.25,16.64
699,1,6.15,50.62
700,1,1.53,12.28
701,0,0.76,4.08
702,1,0.55,0.0
703,1,0.37,0.0
704,0,0.75,2.77
705,0,0.32,0.0
706,1,1.41,6.48
707,0,0.21,0.0
708,0,0.2,0.0
709,0,5.82,54.04
710,1,1.2,2.08
711,0,2.46,20.97
712,1,4.86,41.72
713,0,1.83,16.05
714,1,1.23,2.85
715,0,0.67,2.97
716,1,2.57,13.26
717,0,2.25,18.67
718,0,1.29,7.76
719,0,4.56,39.89
720,0,4.17,36.61
721,1,8.33,74.65
722,1,0.38,0.0
723,1,7.77,66.23
724,1,2.47,12.71
725,1,6.94,60.95
726,0,3.52,32.43
727,1,13.42,127.16
728,1,5.06,41.36
729,1,2.13,11.07
730,0,2.09,17.23
731,1,2.14,11.56
732,0,1.36,11.44
733,0,0.91,5.37
734,1,2.27,18.0
735,0,3.43,28.34
736,0,0.97,5.79
737,1,2.51,19.25
738,1,0.65,0.51
739,1,1.47,4.27
740,1,1.09,0.15
741,0,10.59,102.03
742,1,0.46,0.0
743,1,1.08,1.42
744,0,2.85,23.26
745,0,0.25,0.0
746,1,6.55,60.53
747,1,4.09,33.66
748,1,10.36,101.76
749,0,2.13,17.86
750,1,1.76,8.66
751,1,2.53,20.84
752,0,8.01,75.2
753,1,2.53,18.89
754,1,0.95,6.77
755,1,7.04,58.39
756,0,1.4,10.87
757,0,0.0,0.0
758,1,1.04,4.87
759,1,1.64,8.61
760,0,5.87,54.49
761,1,2.35,16.39
762,0,1.76,14.66
763,0,1.23,7.26
764,1,6.8,62.45
765,1,9.31,83.99
766,1,15.29,142.62
767,1,1.7,9.86
768,0,10.16,96.8
769,0,4.71,44.06
770,1,4.37,32.0
771,1,1.07,5.17
772,0,0.73,2.38
773,0,0.54,1.9
774,1,8.48,74.96
775,0,1.04,6.45
776,1,1.83,14.94
777,0,2.04,16.06
778,0,4.52,42.52
779,1,6.34,51.57
780,1,1.11,1.72
781,0,1.67,12.55
782,1,6.36,53.73
783,0,5.11,46.76
784,1,0.8,1.34
785,1,0.61,1.63
786,0,1.09,7.78
787,1,0.84,0.66
788,0,1.66,12.92
789,0,0.34,0.0
790,0,2.52,21.22
791,0,0.85,3.81
792,1,3.24,23.16
793,1,1.05,1.9
794,1,12.1,109.38
795,0,8.09,76.22
796,0,1.49,10.23
797,1,0.87,3.43
798,0,0.86,5.3
799,0,1.98,15.61
800,1,0.39,0.0
801,0,3.06,26.89
802,0,1.57,12.07
803,1,2.08,11.5
804,0,4.97,47.56
805,0,3.7,32.22
806,1,9.86,90.35
807,0,1.3,9.38
808,1,7.18,64.14
809,0,4.41,39.98
810,1,1.76,11.12
811,1,3.39,24.21
812,1,1.23,7.47
813,0,6.22,59.43
814,1,0.37,0.0
815,1,1.21,4.98
816,0,0.61,3.23
817,1,1.82,11.37
818,0,4.1,38.46
819,0,2.25,20.35
820,1,2.11,17.72
821,1,0.72,0.0
822,0,1.66,12.52
823,0,0.2,0.0
824,0,0.7,2.96
825,0,8.08,77.1
826,1,1.7,4.87
827,0,5.86,55.33
828,1,5.81,47.43
829,1,1.32,3.35
830,1,3.1,24.3
831,0,0.37,0.0
832,1,4.03,35.96
833,0,3.04,25.52
834,0,5.01,46.07
835,1,2.48,16.97
836,1,8.34,71.78
837,0,0.15,0.0
838,0,1.04,6.26
839,0,3.77,33.49
840,0,1.62,10.75
841,0,0.57,0.85
842,0,0.34,0.0
843,1,5.17,45.99
844,0,1.92,14.18
845,0,6.42,61.09
846,0,3.96,34.79
847,0,1.58,10.94
848,1,2.24,10.89
849,1,2.66,20.93
850,1,7.11,63.58
851,1,4.05,36.96
852,0,0.02,0.0
853,0,3.55,30.16
854,1,7.59,70.48
855,1,4.64,36.33
856,0,0.58,2.22
857,1,2.66,17.3
858,0,0.45,2.24
859,1,2.12,10.8
860,0,8.3,81.03
861,0,7.7,73.28
862,0,1.0,6.57
863,0,1.24,9.11
864,0,2.75,24.76
865,1,10.25,96.63
866,1,0.55,1.02
867,0,0.89,6.53
868,1,7.1,60.04
869,1,2.24,15.9
870,1,7.66,66.69
871,1,1.01,2.22
872,1,2.65,21.44
873,0,1.18,6.62
874,0,1.14,8.14
875,0,1.78,15.21
876,0,1.7,11.45
877,0,1.33,10.16
878,1,7.67,70.31
879,1,4.5,37.17
880,1,4.02,34.14
881,0,1.03,7.34
882,1,2.96,24.35
883,0,4.53,41.25
884,0,4.76,43.34
885,1,1.51,9.28
886,0,4.42,41.98
887,0,3.99,34.53
888,0,0.46,1.94
889,0,6.03,54.51
890,1,2.69,14.78
891,0,2.0,17.83
892,0,1.78,15.38
893,1,3.48,25.39
894,1,3.03,25.97
895,0,2.07,17.27
896,1,6.76,57.9
897,0,2.96,24.21
898,0,1.54,11.06
899,0,1.62,12.9
900,1,5.58,47.06
901,0,1.28,9.01
902,0,0.71,2.39
903,0,0.18,0.0
904,1,6.67,60.84
905,1,7.83,73.92
906,0,0.38,0.0
907,0,1.22,8.27
908,0,0.58,0.79
909,0,0.37,0.84
910,0,6.9,67.11
911,1,0.93,0.0
912,0,11.81,113.61
913,0,0.3,0.0
914,0,5.97,57.91
915,1,2.67,21.06
916,1,1.7,11.55
917,0,1.26,8.96
918,1,4.77,39.26
919,1,1.77,8.48
920,0,3.21,28.49
921,1,2.6,18.49
922,1,2.87,16.55
923,1,7.55,66.7
924,0,2.43,18.62
925,0,5.26,47.51
926,1,4.08,34.74
927,0,0.12,0.0
928,1,5.12,40.89
929,1,1.37,6.86
930,0,7.0,64.14
931,1,0.67,0.0
932,0,1.22,6.62
933,0,0.32,0.13
934,1,1.96,12.15
935,1,5.42,48.6
936,1,2.0,8.08
937,0,0.49,2.85
938,0,1.2,8.37
939,1,5.22,46.6
940,0,0.45,1.39
941,1,1.75,4.8
942,1,0.8,0.0
943,0,3.67,31.79
944,1,1.97,10.33
945,1,1.9,10.72
946,0,3.8,34.46
947,1,1.52,9.6
948,1,4.57,36.7
949,1,5.38,47.74
950,1,1.47,5.22
951,0,10.93,104.89
952,0,0.53,0.66
953,1,1.58,7.24
954,1,0.97,2.21
955,1,1.89,9.0
956,0,1.96,16.15
957,1,2.42,17.41
958,1,6.58,54.5
959,0,6.61,61.19
960,1,1.15,3.52
961,1,3.39,26.44
962,0,0.35,0.0
963,0,1.84,15.33
964,1,1.4,7.47
965,1,1.36,8.06
966,0,1.98,15.88
967,0,3.93,34.92
968,0,0.22,0.0
969,1,6.5,59.16
970,0,3.98,35.13
971,0,0.58,2.47
972,0,8.4,82.1
973,1,2.77,18.29
974,0,25.68,252.33
975,0,0.66,3.98
976,1,2.94,19.02
977,0,1.03,8.0
978,0,1.09,7.2
979,1,2.76,24.5
980,0,7.64,72.8
981,1,5.88,46.25
982,1,4.25,34.96
983,0,2.46,20.17
984,1,8.39,75.05
985,0,2.03,16.14
986,1,7.13,60.17
987,1,5.57,49.92
988,0,0.72,4.63
989,1,4.45,41.05
990,1,0.48,0.0
991,0,1.17,7.48
992,1,1.38,4.88
993,0,2.12,16.25
994,0,4.01,34.68
995,0,0.31,0.29
996,0,2.17,18.36
997,0,8.36,79.65
998,1,1.61,6.94
999,0,3.39,31.24
1000,1,2.89,22.58
1001,0,0.03,0.0
1002,0,1.94,14.74
1003,0,3.7,34.28
1004,0,0.13,0.0
1005,0,6.35,60.58
1006,0,2.2,19.25
1007,0,0.09,0.0
1008,1,1.01,4.52
1009,1,9.37,90.27
1010,0,2.62,21.84
1011,1,1.17,1.85
1012,1,1.02,4.77
1013,0,1.83,14.19
1014,1,0.55,0.0
1015,0,1.59,12.16
1016,0,2.02,17.12
1017,1,1.03,4.46
1018,1,3.47,23.9
1019,1,4.61,38.91
1020,1,1.46,6.26
1021,0,2.91,24.88
1022,1,3.19,27.44
1023,1,9.61,86.31
1024,1,4.83,41.46
1025,0,5.66,54.49
1026,1,2.99,18.47
1027,0,0.61,1.62
1028,0,16.43,159.63
1029,0,0.42,0.0
1030,1,2.76,17.75
1031,0,0.21,0.59
1032,1,9.32,83.76
1033,0,10.05,98.17
1034,1,4.2,33.76
1035,0,1.29,9.08
1036,0,0.88,4.98
1037,0,0.92,5.55
1038,1,0.44,0.01
1039,1,2.79,19.79
1040,1,1.1,1.34
1041,0,1.14,7.15
1042,1,3.2,27.15
1043,0,3.9,34.1
1044,1,0.24,0.0
1045,0,1.69,13.73
1046,1,4.17,30.72
1047,1,6.59,55.51
1048,0,1.93,15.32
1049,0,10.44,101.27
1050,0,0.93,5.27
1051,1,0.69,0.0
1052,0,1.98,14.24
1053,1,1.39,4.99
1054,0,5.21,50.41
1055,0,0.79,2.8
1056,1,1.52,8.03
1057,1,4.86,42.38
1058,1,3.93,33.79
1059,0,2.45,20.8
1060,1,4.21,33.94
1061,1,2.08,14.19
1062,1,0.64,0.0
1063,0,0.03,0.0
1064,0,2.15,17.62
1065,0,0.26,0.0
1066,1,0.42,0.0
1067,0,10.1,96.81
1068,1,6.65,58.82
1069,0,0.49,1.04
1070,1,0.12,0.0
1071,0,8.52,81.09
1072,0,0.98,5.36
1073,0,0.62,2.98
1074,0,3.53,32.47
1075,1,0.93,0.92
1076,0,0.92,5.08
1077,1,11.99,108.74
1078,1,3.96,28.36
1079,1,2.66,17.51
1080,1,2.2,11.24
1081,1,5.15,42.11
1082,0,0.46,0.0
1083,1,10.43,98.04
1084,1,6.49,56.69
1085,1,2.92,26.27
1086,0,0.13,0.0
1087,0,3.62,31.63
1088,0,7.34,69.65
1089,1,3.16,20.96
1090,0,1.31,9.32
1091,0,0.38,0.18
1092,0,4.22,38.3
1093,0,6.49,59.44
1094,0,0.32,0.0
1095,1,4.92,38.73
1096,0,0.05,0.0
1097,1,10.98,100.04
1098,1,2.92,25.69
1099,0,2.41,19.35
1100,0,1.05,7.11
1101,0,7.95,76.71
1102,0,0.93,4.44
1103,1,5.68,51.26
1104,1,13.57,122.42
1105,1,4.65,42.74
1106,1,2.7,17.96
1107,1,0.47,0.0
1108,1,2.02,14.92
1109,1,2.27,14.05
1110,1,0.69,1.46
1111,0,1.65,10.13
1112,0,1.33,8.44
1113,1,0.88,2.24
1114,1,2.61,15.92
1115,1,1.2,7.56
1116,1,2.54,17.34
1117,1,1.02,0.0
1118,0,7.1,65.21
1119,0,5.08,46.52
1120,0,2.41,19.87
1121,1,5.79,52.21
1122,1,10.64,94.98
1123,0,0.35,0.0
1124,1,3.41,25.51
1125,1,19.23,182.22
1126,0,13.24,129.52
1127,0,2.77,23.15
1128,0,0.41,0.0
1129,1,2.91,23.26
1130,1,0.26,0.0
1131,0,0.67,4.27
1132,1,9.46,89.92
1133,1,1.79,8.91
1134,0,3.05,27.51
1135,0,0.99,6.42
1136,0,8.86,85.7
1137,0,3.91,34.76
1138,1,2.19,10.46
1139,1,5.02,43.08
1140,1,1.17,1.71
1141,1,1.66,10.29
1142,0,0.75,2.46
1143,0,3.45,31.36
1144,0,0.32,0.0
1145,0,1.52,10.66
1146,0,0.97,5.84
1147,1,2.63,17.67
1148,0,1.29,8.5
1149,0,3.68,33.22
1150,0,0.07,0.0
