userid,os,platform,converted
206,ios,phone,0
207,android,tablet,0
208,ios,tablet,0
209,ios,phone,0
210,android,phone,0
211,android,tablet,0
212,android,tablet,1
213,ios,tablet,0
214,ios,phone,0
215,android,tablet,0
216,ios,tablet,0
217,android,tablet,0
218,android,phone,0
219,android,tablet,0
220,ios,phone,0
221,ios,phone,0
222,ios,phone,0
223,ios,phone,0
224,android,tablet,0
225,android,tablet,0
226,android,tablet,0
227,android,phone,0
228,ios,phone,0
229,ios,phone,0
230,ios,tablet,0
231,android,tablet,0
232,ios,phone,0
233,android,phone,0
234,android,tablet,1
235,ios,phone,0
236,android,tablet,0
237,android,tablet,0
238,android,phone,0
239,android,tablet,1
240,android,phone,0
241,android,phone,0
242,ios,tablet,0
243,android,tablet,0
244,ios,phone,0
245,ios,phone,1
246,android,tablet,0
247,ios,phone,0
248,ios,phone,0
249,android,tablet,0
250,ios,tablet,0
251,android,tablet,0
252,android,tablet,0
253,android,tablet,0
254,ios,phone,0
255,ios,tablet,1
256,android,tablet,0
257,ios,phone,0
258,ios,phone,0
259,android,tablet,0
260,ios,phone,0
261,android,tablet,0
262,android,tablet,0
263,android,tablet,0
264,android,tablet,0
265,android,tablet,0
266,ios,tablet,0
267,android,tablet,0
268,ios,phone,0
269,android,tablet,0
270,android,phone,0
271,android,tablet,0
272,ios,phone,0
273,ios,tablet,0
274,ios,phone,0
275,ios,phone,0
276,android,phone,0
277,ios,phone,0
278,android,tablet,0
279,android,tablet,0
280,ios,phone,0
281,android,tablet,0
282,ios,phone,0
283,android,tablet,0
284,android,tablet,0
285,ios,phone,0
286,android,phone,0
287,android,tablet,0
288,android,tablet,0
289,android,tablet,0
290,android,phone,0
291,android,tablet,0
292,ios,phone,0
293,ios,tablet,0
294,android,phone,0
295,android,tablet,0
296,android,tablet,0
297,android,tablet,0
298,android,tablet,0
299,ios,phone,0
300,android,tablet,0
301,android,tablet,1
302,android,tablet,0
303,ios,tablet,0
304,android,tablet,1
305,android,tablet,0
306,android,tablet,0
307,ios,phone,0
308,ios,phone,0
309,ios,phone,0
310,android,tablet,0
311,ios,phone,0
312,android,phone,0
313,ios,tablet,0
314,android,phone,0
315,android,tablet,0
316,android,tablet,0
317,android,phone,0
318,ios,tablet,0
319,android,tablet,0
320,ios,phone,0
321,android,tablet,0
322,ios,phone,0
323,android,tablet,0
324,ios,phone,0
325,android,tablet,0
326,android,tablet,0
327,android,phone,0
328,android,tablet,0
329,android,phone,0
330,ios,tablet,0
331,ios,phone,0
332,ios,phone,0
333,android,tablet,0
334,android,tablet,0
335,android,tablet,0
336,ios,phone,0
337,ios,phone,0
338,android,tablet,0
339,android,tablet,0
340,ios,tablet,0
341,android,tablet,0
342,android,tablet,0
343,ios,phone,0
344,ios,phone,0
345,android,tablet,0
346,android,tablet,0
347,android,phone,0
348,ios,tablet,0
349,android,tablet,1
350,android,phone,0
351,ios,phone,0
352,ios,tablet,0
353,ios,tablet,0
354,android,phone,0
355,ios,phone,0
356,android,tablet,0
357,ios,tablet,0
358,android,tablet,0
359,ios,phone,0
360,android,tablet,0
361,android,tablet,0
362,android,tablet,0
363,android,tablet,0
364,ios,phone,0
365,ios,phone,0
366,android,tablet,0
367,android,tablet,0
368,ios,phone,0
369,ios,phone,0
370,android,tablet,1
371,ios,phone,0
372,android,tablet,0
373,android,tablet,0
374,android,tablet,0
375,android,phone,0
376,ios,phone,0
377,ios,phone,0
378,android,tablet,0
379,android,phone,0
380,ios,phone,0
381,android,phone,0
382,ios,phone,0
383,ios,phone,0
384,ios,phone,0
385,ios,tablet,0
386,android,phone,0
387,ios,tablet,0
388,ios,phone,0
389,android,tablet,0
390,android,tablet,0
391,ios,tablet,0
392,android,tablet,0
393,android,tablet,0
394,android,tablet,0
395,android,phone,0
396,android,tablet,0
397,android,tablet,0
398,ios,phone,0
399,android,phone,0
400,android,phone,0
401,android,tablet,0
402,android,tablet,0
403,android,tablet,0
404,android,tablet,0
405,android,tablet,0
406,android,tablet,0
407,android,tablet,0
408,ios,phone,0
409,android,tablet,0
410,ios,tablet,0
411,android,tablet,0
412,android,tablet,0
413,android,tablet,0
414,ios,tablet,0
415,ios,phone,0
416,ios,tablet,0
417,android,tablet,0
418,ios,tablet,0
419,android,tablet,0
420,ios,phone,0
421,ios,tablet,0
422,android,tablet,0
423,android,tablet,0
424,ios,tablet,0
425,android,tablet,0
426,ios,phone,0
427,android,tablet,0
428,android,tablet,0
429,ios,phone,0
430,ios,phone,0
431,android,tablet,0
432,android,phone,0
433,ios,tablet,0
434,ios,phone,0
435,ios,phone,0
436,ios,phone,0
437,ios,phone,0
438,ios,phone,0
439,android,phone,0
440,ios,phone,0
441,android,tablet,0
442,ios,phone,0
443,ios,phone,0
444,ios,tablet,0
445,android,tablet,0
446,ios,tablet,0
447,android,phone,0
448,android,phone,0
449,android,tablet,0
450,ios,tablet,0
451,ios,phone,0
452,ios,tablet,0
453,android,tablet,0
454,android,tablet,0
455,ios,phone,0
456,ios,tablet,0
457,ios,phone,0
458,ios,tablet,0
459,android,tablet,1
460,android,tablet,0
461,android,tablet,0
462,android,phone,0
463,android,tablet,0
464,ios,phone,0
465,ios,phone,0
466,android,phone,0
467,android,tablet,0
468,android,phone,0
469,ios,phone,0
470,android,phone,0
471,ios,phone,0
472,android,tablet,0
473,android,tablet,0
474,ios,phone,0
475,ios,phone,0
476,android,phone,0
477,android,tablet,0
478,android,tablet,0
479,ios,phone,0
480,android,tablet,1
481,android,phone,0
482,ios,phone,0
483,ios,phone,0
484,android,tablet,0
485,android,tablet,0
486,ios,phone,0
487,android,tablet,0
488,ios,phone,0
489,android,tablet,0
490,android,tablet,0
491,android,tablet,0
492,android,tablet,0
493,android,tablet,1
494,android,tablet,0
495,ios,phone,0
496,ios,phone,0
497,android,tablet,0
498,android,phone,0
499,android,tablet,0
500,android,tablet,0
501,ios,phone,0
502,android,tablet,0
503,ios,phone,0
504,android,tablet,0
505,ios,phone,0
506,ios,phone,0
507,android,tablet,0
508,ios,phone,0
509,android,phone,0
510,android,tablet,0
511,android,tablet,0
512,ios,tablet,0
513,android,tablet,1
514,android,tablet,0
515,android,tablet,0
516,android,phone,0
517,android,phone,0
518,android,tablet,0
519,android,tablet,0
520,android,tablet,0
521,android,tablet,0
522,android,tablet,0
523,android,tablet,0
524,android,tablet,0
525,ios,tablet,0
526,android,tablet,0
527,android,tablet,0
528,ios,phone,0
529,android,tablet,0
530,ios,phone,0
531,ios,phone,0
532,android,tablet,0
533,ios,tablet,1
534,ios,phone,0
535,android,tablet,0
536,ios,phone,0
537,ios,phone,0
538,android,tablet,0
539,ios,phone,0
540,android,tablet,0
541,ios,phone,0
542,android,phone,0
543,android,tablet,0
544,android,phone,0
545,ios,tablet,0
546,ios,tablet,0
547,android,tablet,0
548,android,tablet,0
549,android,tablet,0
550,ios,phone,0
551,android,tablet,0
552,ios,phone,0
553,android,tablet,0
554,ios,phone,0
555,android,tablet,1
556,ios,phone,0
557,ios,phone,0
558,android,tablet,1
559,android,tablet,0
560,android,tablet,0
561,ios,phone,0
562,android,tablet,0
563,android,tablet,0
564,android,tablet,0
565,ios,tablet,0
566,ios,phone,0
567,ios,phone,0
568,ios,phone,0
569,ios,phone,0
570,android,phone,0
571,android,tablet,0
572,android,tablet,0
573,ios,phone,0
574,ios,phone,0
575,android,phone,0
576,ios,phone,0
577,ios,phone,0
578,android,tablet,0
579,ios,phone,0
580,android,tablet,1
581,android,tablet,0
582,ios,phone,0
583,android,tablet,0
584,android,phone,0
585,android,tablet,0
586,android,tablet,1
587,android,tablet,1
588,android,tablet,0
589,android,phone,0
590,ios,phone,0
591,android,phone,0
592,android,tablet,0
593,android,tablet,0
594,android,tablet,0
595,android,tablet,0
596,android,tablet,0
597,android,tablet,0
598,android,tablet,0
599,android,tablet,1
600,android,tablet,0
601,android,tablet,0
602,ios,tablet,0
603,android,tablet,0
604,android,phone,0
605,ios,phone,1
606,android,tablet,0
607,ios,tablet,0
608,android,tablet,0
609,ios,phone,0
610,android,tablet,0
611,ios,phone,0
612,android,tablet,0
613,android,tablet,0
614,android,tablet,0
615,ios,phone,0
616,android,tablet,1
617,android,phone,0
618,android,tablet,0
619,android,phone,0
620,android,phone,0
621,android,tablet,0
622,android,tablet,0
623,android,phone,0
624,ios,phone,0
625,android,tablet,0
626,ios,phone,0
627,android,phone,0
628,ios,phone,0
629,android,tablet,0
630,android,tablet,0
631,android,tablet,0
632,ios,tablet,0
633,android,tablet,0
634,ios,phone,0
635,android,tablet,0
636,ios,phone,0
637,ios,phone,0
638,android,tablet,0
639,android,tablet,0
640,android,tablet,0
641,android,phone,0
642,ios,tablet,0
643,android,phone,0
644,android,tablet,0
645,ios,tablet,0
646,android,tablet,0
647,android,tablet,0
648,android,tablet,0
649,android,tablet,1
650,android,phone,0
651,android,tablet,0
652,android,tablet,0
653,ios,phone,0
654,android,tablet,0
655,android,tablet,0
656,android,tablet,0
657,android,phone,0
658,android,tablet,0
659,android,tablet,0
660,android,tablet,0
661,ios,phone,0
662,android,tablet,0
663,android,tablet,0
664,ios,tablet,0
665,android,phone,0
666,android,tablet,0
667,android,tablet,0
668,android,phone,0
669,android,tablet,0
670,android,tablet,1
671,ios,tablet,0
672,android,tablet,0
673,android,tablet,0
674,android,tablet,1
675,android,tablet,0
676,ios,tablet,0
677,android,tablet,0
678,ios,tablet,0
679,android,tablet,0
680,android,tablet,0
681,android,tablet,0
682,android,tablet,0
683,android,tablet,0
684,android,tablet,1
685,android,tablet,0
686,android,tablet,0
687,android,tablet,0
688,android,tablet,0
689,ios,tablet,0
690,android,tablet,0
691,ios,tablet,0
692,android,tablet,0
693,ios,phone,0
694,android,phone,0
695,ios,phone,0
696,android,tablet,0
697,ios,phone,0
698,ios,phone,0
699,android,tablet,0
700,android,tablet,0
701,android,tablet,0
702,ios,phone,0
703,android,tablet,0
704,ios,phone,0
705,ios,phone,0
706,android,phone,0
707,android,phone,0
708,android,tablet,1
709,ios,tablet,0
710,ios,phone,0
711,android,tablet,0
712,android,tablet,0
713,ios,phone,0
714,android,phone,0
715,android,tablet,0
716,android,tablet,0
717,android,tablet,0
718,android,tablet,0
719,android,tablet,0
720,android,phone,0
721,android,tablet,0
722,ios,phone,0
723,android,tablet,0
724,android,tablet,0
725,android,tablet,0
726,android,tablet,0
727,ios,phone,0
728,android,tablet,0
729,android,tablet,0
730,ios,phone,0
731,android,tablet,0
732,android,tablet,0
733,ios,phone,0
734,android,tablet,0
735,android,tablet,0
736,ios,phone,0
737,android,tablet,0
738,ios,phone,0
739,android,tablet,0
740,ios,phone,0
741,android,tablet,0
742,ios,tablet,0
743,android,tablet,0
744,android,tablet,0
745,android,phone,0
746,ios,phone,0
747,android,tablet,0
748,ios,tablet,0
749,android,tablet,0
750,ios,phone,0
751,ios,tablet,0
752,android,tablet,0
753,android,phone,0
754,android,tablet,0
755,android,tablet,0
756,ios,phone,0
757,android,tablet,0
758,android,tablet,0
759,ios,phone,0
760,ios,phone,0
761,ios,tablet,0
762,android,tablet,0
763,android,phone,0
764,ios,phone,0
765,android,phone,0
766,ios,phone,0
767,ios,phone,0
768,android,tablet,0
769,android,phone,0
770,android,phone,0
771,android,tablet,0
772,ios,tablet,0
773,android,phone,0
774,android,tablet,0
775,android,tablet,0
776,android,tablet,0
777,android,tablet,0
778,android,tablet,1
779,ios,tablet,0
780,android,tablet,0
781,android,phone,1
782,android,tablet,0
783,android,tablet,0
784,android,tablet,0
785,android,tablet,0
786,android,tablet,0
787,android,tablet,0
788,android,tablet,1
789,android,tablet,0
790,android,phone,0
791,ios,phone,1
792,android,tablet,0
793,android,tablet,0
794,android,tablet,0
795,android,tablet,0
796,android,tablet,0
797,ios,phone,0
798,ios,tablet,0
799,android,tablet,0
800,android,tablet,0
801,ios,phone,0
802,ios,phone,0
803,android,tablet,0
804,android,tablet,0
805,android,tablet,0
806,android,phone,0
807,android,phone,0
808,android,phone,0
809,ios,tablet,0
810,ios,tablet,0
811,android,tablet,0
812,android,tablet,0
813,android,tablet,0
814,ios,phone,0
815,android,phone,0
816,android,tablet,0
817,android,tablet,0
818,ios,phone,0
819,ios,phone,0
820,ios,phone,0
821,android,phone,0
822,android,tablet,0
823,ios,phone,0
824,android,tablet,0
825,ios,phone,0
826,android,tablet,0
827,ios,phone,0
828,ios,tablet,0
829,android,tablet,0
830,ios,tablet,0
831,android,tablet,0
832,android,phone,0
833,android,tablet,0
834,ios,phone,0
835,android,tablet,0
836,ios,phone,0
837,android,tablet,0
838,ios,tablet,0
839,ios,phone,0
840,android,tablet,0
841,android,tablet,0
842,android,phone,0
843,android,tablet,0
844,android,tablet,1
845,android,phone,0
846,ios,phone,0
847,ios,phone,0
848,ios,phone,0
849,android,tablet,0
850,android,tablet,0
851,android,tablet,1
852,ios,phone,0
853,android,phone,0
854,android,phone,0
855,android,tablet,0
856,android,tablet,0
857,android,tablet,0
858,android,tablet,0
859,ios,tablet,0
860,android,tablet,0
861,android,tablet,0
862,android,phone,0
863,android,tablet,0
864,android,tablet,0
865,android,tablet,0
866,android,tablet,0
867,ios,phone,0
868,android,tablet,0
869,android,phone,0
870,android,tablet,0
871,ios,tablet,0
872,android,tablet,0
873,ios,phone,0
874,android,tablet,0
875,android,tablet,0
876,ios,tablet,0
877,android,tablet,0
878,android,tablet,0
879,ios,tablet,0
880,android,tablet,0
881,ios,phone,0
882,android,tablet,0
883,android,tablet,0
884,ios,phone,0
885,android,phone,0
886,android,phone,0
887,android,tablet,0
888,ios,phone,0
889,android,tablet,0
890,ios,phone,0
891,ios,phone,0
892,ios,tablet,0
893,ios,phone,0
894,android,tablet,0
895,android,tablet,0
896,android,phone,0
897,android,tablet,0
898,android,tablet,0
899,android,phone,0
900,android,tablet,0
901,android,tablet,0
902,android,tablet,0
903,ios,phone,0
904,ios,tablet,1
905,android,tablet,0
906,ios,phone,0
907,ios,phone,0
908,ios,phone,0
909,android,tablet,0
910,android,tablet,0
911,android,tablet,0
912,android,tablet,0
913,android,phone,0
914,android,tablet,0
915,android,tablet,0
916,android,phone,0
917,ios,phone,0
918,android,tablet,0
919,ios,tablet,0
920,android,tablet,0
921,android,tablet,0
922,android,tablet,0
923,android,tablet,0
924,ios,phone,0
925,ios,tablet,0
926,android,phone,0
927,android,tablet,0
928,android,tablet,0
929,android,tablet,0
930,ios,phone,0
931,android,tablet,0
932,ios,tablet,0
933,android,tablet,0
934,android,tablet,0
935,android,tablet,0
936,android,tablet,0
937,android,tablet,0
938,ios,phone,0
939,ios,phone,0
940,android,tablet,0
941,android,tablet,0
942,ios,phone,0
943,android,tablet,0
944,android,tablet,0
945,ios,tablet,0
946,ios,phone,1
947,android,tablet,0
948,ios,tablet,0
949,android,tablet,0
950,ios,phone,0
951,android,tablet,0
952,android,tablet,1
953,android,tablet,0
954,android,tablet,0
955,ios,phone,0
956,android,tablet,0
957,android,phone,0
958,android,tablet,0
959,android,tablet,0
960,android,tablet,0
961,ios,phone,0
962,android,tablet,0
963,ios,phone,0
964,android,tablet,0
965,android,tablet,0
966,android,tablet,0
967,android,phone,0
968,android,tablet,0
969,android,tablet,0
970,android,phone,0
971,ios,tablet,0
972,ios,tablet,0
973,android,phone,0
974,android,tablet,0
975,android,tablet,0
976,android,phone,0
977,ios,phone,0
978,ios,phone,0
979,android,phone,0
980,ios,tablet,0
981,ios,phone,0
982,android,tablet,0
983,ios,phone,0
984,android,tablet,0
985,android,tablet,0
986,android,tablet,0
987,android,tablet,0
988,android,phone,0
989,android,tablet,0
990,android,tablet,0
991,ios,phone,0
992,ios,phone,0
993,android,tablet,0
994,android,tablet,0
995,ios,phone,0
996,ios,phone,0
997,android,tablet,0
998,ios,phone,0
999,ios,phone,0
1000,android,phone,0
1001,ios,tablet,0
1002,android,phone,0
1003,ios,tablet,0
1004,android,phone,0
1005,ios,tablet,0
1006,android,phone,0
1007,ios,phone,0
1008,ios,phone,0
1009,android,tablet,0
1010,android,tablet,0
1011,android,tablet,0
1012,android,tablet,0
1013,android,phone,0
1014,android,tablet,0
1015,android,tablet,1
1016,ios,phone,0
1017,ios,phone,0
1018,android,tablet,0
1019,ios,tablet,0
1020,android,tablet,0
1021,ios,phone,0
1022,android,phone,0
1023,android,phone,1
1024,android,tablet,0
1025,android,tablet,0
1026,android,tablet,0
1027,android,tablet,0
1028,android,tablet,0
1029,android,tablet,0
1030,android,phone,0
1031,ios,phone,0
1032,android,tablet,0
1033,ios,phone,0
1034,android,phone,0
1035,android,phone,0
1036,android,tablet,0
1037,android,tablet,0
1038,ios,tablet,1
1039,android,tablet,0
1040,android,tablet,0
1041,android,tablet,0
1042,android,tablet,0
1043,android,tablet,0
1044,ios,phone,0
1045,android,tablet,0
1046,android,tablet,0
1047,ios,phone,0
1048,ios,phone,0
1049,ios,phone,0
1050,android,tablet,0
1051,android,phone,0
1052,android,tablet,0
1053,android,tablet,0
1054,android,tablet,0
1055,ios,phone,0
1056,android,tablet,0
1057,android,tablet,0
1058,android,tablet,0
1059,android,tablet,0
1060,android,phone,0
1061,android,tablet,0
1062,android,tablet,0
1063,android,tablet,0
1064,android,tablet,1
1065,android,tablet,0
1066,android,tablet,0
1067,android,tablet,0
1068,android,tablet,1
1069,ios,tablet,0
1070,android,phone,0
1071,ios,phone,0
1072,ios,phone,0
1073,android,tablet,0
1074,android,tablet,0
1075,android,tablet,0
1076,android,tablet,0
1077,android,tablet,0
1078,android,tablet,0
1079,ios,tablet,0
1080,android,phone,0
1081,ios,phone,0
1082,android,tablet,0
1083,android,tablet,0
1084,android,phone,0
1085,android,phone,0
1086,ios,phone,0
1087,android,tablet,0
1088,ios,tablet,0
1089,android,tablet,0
1090,ios,phone,0
1091,android,tablet,0
1092,android,phone,0
1093,android,tablet,1
1094,android,tablet,0
1095,android,tablet,0
1096,ios,phone,0
1097,android,tablet,0
1098,android,tablet,0
1099,android,tablet,0
1100,android,tablet,0
1101,android,phone,0
1102,ios,phone,0
1103,ios,tablet,0
1104,android,tablet,0
1105,ios,tablet,1
1106,ios,phone,0
1107,ios,phone,0
1108,android,tablet,0
1109,android,phone,0
1110,ios,tablet,1
1111,android,tablet,0
1112,android,tablet,0
1113,ios,phone,0
1114,android,tablet,1
1115,ios,phone,0
1116,android,tablet,0
1117,ios,tablet,0
1118,android,tablet,1
1119,ios,tablet,0
1120,android,tablet,0
1121,android,tablet,0
1122,android,tablet,0
1123,android,tablet,0
1124,android,tablet,0
1125,ios,phone,0
1126,ios,phone,1
1127,android,tablet,0
1128,ios,phone,0
1129,android,tablet,0
1130,android,tablet,0
1131,ios,phone,0
1132,android,phone,0
1133,android,tablet,1
1134,ios,tablet,0
1135,android,tablet,0
1136,ios,phone,0
1137,android,tablet,0
1138,android,phone,0
1139,ios,tablet,0
1140,android,tablet,0
1141,android,tablet,0
1142,ios,phone,0
1143,android,tablet,0
1144,android,phone,0
1145,ios,phone,0
1146,android,tablet,0
1147,ios,phone,0
1148,ios,phone,0
1149,android,tablet,0
1150,android,phone,0
1151,android,tablet,0
1152,android,tablet,0
1153,android,phone,0
1154,android,tablet,0
1155,ios,phone,0
1156,ios,tablet,0
1157,android,tablet,0
1158,android,phone,0
1159,android,tablet,0
1160,android,phone,0
1161,ios,phone,0
1162,ios,tablet,0
1163,android,tablet,0
1164,android,phone,0
1165,android,phone,0
1166,android,tablet,0
1167,android,tablet,0
1168,ios,tablet,0
1169,android,phone,0
1170,android,tablet,0
1171,android,tablet,0
1172,android,phone,0
1173,ios,tablet,0
1174,android,tablet,0
1175,android,tablet,0
1176,android,tablet,0
1177,ios,phone,0
1178,ios,tablet,0
1179,android,tablet,0
1180,ios,phone,0
1181,android,tablet,0
1182,android,phone,0
1183,ios,phone,0
1184,ios,phone,0
1185,android,tablet,0
1186,android,tablet,0
1187,ios,phone,0
1188,ios,phone,0
1189,ios,tablet,0
1190,ios,phone,0
1191,android,phone,0
1192,android,tablet,0
1193,android,phone,0
1194,android,tablet,0
1195,ios,tablet,0
1196,ios,phone,0
1197,ios,phone,0
1198,ios,phone,0
1199,android,phone,0
1200,ios,phone,0
1201,android,phone,0
1202,ios,phone,0
1203,android,phone,0
1204,android,tablet,0
1205,android,tablet,0
1206,ios,tablet,0
1207,android,tablet,0
1208,android,tablet,0
1209,android,tablet,0
1210,android,phone,1
1211,android,phone,0
1212,android,phone,0
1213,android,tablet,0
1214,android,tablet,0
1215,android,tablet,0
1216,android,phone,0
1217,android,tablet,0
1218,android,tablet,0
1219,android,tablet,0
1220,android,phone,0
1221,android,tablet,1
1222,ios,phone,0
1223,android,phone,1
1224,ios,phone,0
1225,android,tablet,0
1226,android,tablet,0
1227,android,tablet,0
1228,android,phone,0
1229,android,tablet,0
1230,android,tablet,0
1231,android,tablet,0
1232,android,phone,0
1233,ios,phone,0
1234,ios,phone,0
1235,android,tablet,1
1236,ios,tablet,0
1237,ios,tablet,0
1238,ios,phone,0
1239,ios,phone,0
1240,android,phone,0
1241,android,tablet,0
1242,android,tablet,0
1243,android,tablet,0
1244,android,tablet,0
1245,android,tablet,0
1246,ios,tablet,0
1247,ios,tablet,0
1248,android,tablet,0
1249,android,phone,0
1250,android,tablet,0
1251,android,tablet,0
1252,android,tablet,0
1253,android,tablet,0
1254,android,phone,0
1255,android,tablet,0
1256,ios,phone,0
1257,android,phone,0
1258,android,tablet,0
1259,android,phone,0
1260,android,tablet,0
1261,android,tablet,0
1262,android,phone,0
1263,android,tablet,0
1264,ios,phone,0
1265,android,tablet,0
1266,android,tablet,0
1267,ios,phone,0
1268,android,tablet,0
1269,android,tablet,0
1270,android,tablet,0
1271,ios,phone,0
1272,ios,phone,0
1273,android,tablet,0
1274,android,tablet,0
1275,ios,tablet,0
1276,android,tablet,0
1277,ios,phone,0
1278,android,tablet,1
1279,android,phone,0
1280,android,tablet,0
1281,android,tablet,0
1282,ios,phone,0
1283,android,phone,0
1284,android,tablet,0
1285,android,tablet,0
1286,android,tablet,0
1287,android,tablet,0
1288,ios,phone,0
1289,android,phone,0
1290,android,tablet,0
1291,android,tablet,0
1292,android,tablet,0
1293,ios,phone,0
1294,android,tablet,0
1295,android,tablet,0
1296,android,tablet,0
1297,android,tablet,0
1298,android,phone,0
1299,ios,phone,0
1300,android,tablet,0
1301,ios,phone,0
1302,android,phone,0
1303,android,phone,0
1304,android,tablet,0
1305,android,tablet,0
1306,android,phone,0
1307,android,tablet,0
1308,android,tablet,0
1309,ios,phone,0
1310,android,tablet,0
1311,ios,phone,0
1312,android,tablet,0
1313,ios,phone,0
1314,android,tablet,0
1315,ios,tablet,0
1316,android,tablet,0
1317,android,tablet,0
1318,android,tablet,0
1319,android,phone,0
1320,android,phone,0
1321,ios,tablet,0
1322,android,tablet,0
1323,ios,phone,0
1324,ios,tablet,0
1325,android,tablet,0
1326,android,tablet,0
1327,android,tablet,0
1328,android,tablet,0
1329,android,tablet,0
1330,android,tablet,0
1331,android,tablet,0
1332,android,tablet,1
1333,android,tablet,0
1334,ios,phone,0
1335,android,phone,0
1336,ios,phone,0
1337,ios,phone,0
1338,android,tablet,0
1339,ios,phone,0
1340,android,tablet,0
1341,android,tablet,0
1342,android,tablet,1
1343,android,tablet,0
1344,ios,phone,0
1345,android,tablet,0
1346,android,phone,0
1347,android,tablet,0
1348,ios,phone,0
1349,android,tablet,0
1350,ios,phone,0
1351,android,tablet,0
1352,android,tablet,0
1353,android,tablet,1
1354,ios,phone,0
1355,android,tablet,0
1356,android,tablet,0
1357,ios,tablet,0
1358,android,tablet,0
1359,android,tablet,0
1360,ios,phone,0
1361,android,tablet,0
1362,android,tablet,0
1363,android,tablet,0
1364,android,tablet,1
1365,android,phone,0
1366,android,tablet,0
