Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Vehicle Class,Vehicle Size, Customer Lifetime Value 
FR46645,California,Premium,Bachelor,Disabled,M,16701,Suburban,Married,Four-Door Car,Small," $4,294 "
FS37417,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,SUV,Small," $3,958 "
ML29312,Oregon,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,SUV,Medsize," $4,499 "
UB61619,Oregon,Premium,Master,Disabled,F,11621,Suburban,Divorced,Four-Door Car,Medsize," $4,060 "
CD86811,Arizona,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,Four-Door Car,Medsize," $4,458 "
RU83859,California,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,Two-Door Car,Small," $8,110 "
FG63582,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,Two-Door Car,Small," $3,340 "
NN71951,California,Basic,High School or Below,Employed,F,66525,Rural,Married,SUV,Medsize," $24,261 "
WB37082,Arizona,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Large," $6,614 "
SM52139,Washington,Basic,College,Employed,M,33663,Suburban,Married,Four-Door Car,Medsize," $2,931 "
DP45816,Arizona,Extended,High School or Below,Employed,F,61486,Urban,Married,Two-Door Car,Small," $11,639 "
GW33762,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,Two-Door Car,Large," $6,846 "
RZ33670,California,Premium,College,Disabled,F,29879,Suburban,Married,Four-Door Car,Medsize," $11,728 "
PY70169,Oregon,Basic,High School or Below,Employed,M,93011,Rural,Divorced,SUV,Medsize," $22,644 "
MO91628,Oregon,Basic,Master,Employed,M,65186,Rural,Married,Two-Door Car,Large," $2,614 "
HW87852,Oregon,Basic,Master,Medical Leave,M,26840,Suburban,Married,Four-Door Car,Medsize," $2,452 "
HB20453,Oregon,Basic,Bachelor,Unemployed,M,0,Suburban,Single,Sports Car,Medsize," $6,781 "
BN87372,Oregon,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,Two-Door Car,Medsize," $4,975 "
YX23800,Oregon,Basic,Bachelor,Employed,M,38984,Suburban,Married,Four-Door Car,Small," $8,592 "
DZ87709,Oregon,Basic,High School or Below,Employed,F,71811,Rural,Single,Four-Door Car,Medsize," $5,592 "
XW13033,Nevada,Basic,College,Employed,M,20961,Suburban,Married,Four-Door Car,Medsize," $8,009 "
LN31673,Washington,Extended,College,Employed,M,38923,Rural,Married,Four-Door Car,Medsize," $11,318 "
OM82309,California,Basic,Bachelor,Employed,M,61321,Rural,Single,Luxury Car,Small," $58,167 "
ZU35962,California,Extended,College,Unemployed,F,0,Rural,Single,Two-Door Car,Large," $8,025 "
VH85817,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,Four-Door Car,Medsize," $5,780 "
DT85712,California,Basic,Doctor,Employed,M,34378,Suburban,Married,SUV,Medsize," $4,119 "
YJ88573,Nevada,Basic,Master,Employed,M,43072,Suburban,Married,Four-Door Car,Large," $2,523 "
SQ19467,Oregon,Extended,College,Disabled,F,25222,Suburban,Single,Four-Door Car,Small," $6,554 "
HF88410,Washington,Basic,High School or Below,Employed,M,36765,Suburban,Married,Four-Door Car,Medsize," $7,703 "
ET79815,California,Extended,College,Retired,M,23091,Suburban,Married,Four-Door Car,Medsize," $5,927 "
CJ15590,Oregon,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,Four-Door Car,Medsize," $2,695 "
OI48267,California,Extended,College,Employed,M,20396,Suburban,Married,Four-Door Car,Medsize," $6,047 "
JY67916,Oregon,Premium,College,Medical Leave,M,21513,Suburban,Married,Two-Door Car,Small," $13,171 "
ON44465,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $5,313 "
TV87155,Oregon,Basic,Bachelor,Employed,F,69738,Suburban,Married,Four-Door Car,Large," $20,946 "
KH48895,Arizona,Basic,Master,Medical Leave,F,17780,Rural,Married,SUV,Medsize," $8,375 "
NZ30757,California,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,Four-Door Car,Medsize," $4,802 "
RI22468,Arizona,Basic,Bachelor,Employed,F,57740,Urban,Married,Four-Door Car,Medsize," $5,746 "
FZ30935,Oregon,Extended,College,Employed,M,32627,Suburban,Married,Two-Door Car,Small," $6,066 "
UG93476,California,Basic,College,Unemployed,F,0,Suburban,Married,SUV,Medsize," $8,002 "
AB96670,California,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $2,394 "
EV68375,California,Premium,College,Employed,M,60475,Suburban,Married,Four-Door Car,Medsize," $4,330 "
UN51653,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,SUV,Medsize," $9,403 "
TO96662,Oregon,Extended,Bachelor,Employed,F,41837,Rural,Married,Four-Door Car,Small," $6,967 "
MR52087,California,Basic,Bachelor,Employed,F,32303,Rural,Married,Four-Door Car,Medsize," $7,694 "
DE75225,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Married,SUV,Medsize," $8,718 "
EP80820,California,Basic,Bachelor,Employed,F,40531,Rural,Married,Two-Door Car,Medsize," $5,929 "
WI57118,California,Extended,College,Employed,M,56398,Suburban,Married,Four-Door Car,Small," $6,702 "
MQ14219,Arizona,Basic,College,Employed,M,27804,Suburban,Married,SUV,Medsize," $8,493 "
KN20603,Oregon,Basic,Bachelor,Employed,M,45506,Suburban,Single,Four-Door Car,Medsize," $7,713 "
CR48975,Washington,Basic,High School or Below,Employed,M,65196,Suburban,Married,Four-Door Car,Medsize," $24,085 "
VF72557,Oregon,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,SUV,Medsize," $4,773 "
OX28638,Arizona,Extended,High School or Below,Employed,M,37839,Suburban,Married,Two-Door Car,Medsize," $6,806 "
SK55033,California,Basic,Bachelor,Employed,F,92711,Suburban,Single,Two-Door Car,Medsize," $2,470 "
YT36855,Washington,Extended,College,Unemployed,M,0,Suburban,Married,Two-Door Car,Medsize," $2,982 "
CW82151,California,Basic,Bachelor,Employed,M,46833,Rural,Married,Sports Car,Medsize," $8,903 "
DY22043,Oregon,Basic,High School or Below,Employed,F,88768,Suburban,Married,Two-Door Car,Small," $5,499 "
SH36774,California,Basic,High School or Below,Employed,M,28262,Suburban,Single,Luxury SUV,Medsize," $15,024 "
EM43724,Nevada,Basic,Bachelor,Employed,F,33555,Rural,Married,Four-Door Car,Medsize," $2,509 "
FH85960,Oregon,Premium,College,Employed,M,42780,Suburban,Divorced,Four-Door Car,Medsize," $31,222 "
XA55993,Oregon,Extended,Master,Employed,F,58850,Rural,Single,Four-Door Car,Medsize," $3,134 "
QH48047,Oregon,Basic,College,Retired,M,25251,Suburban,Divorced,Four-Door Car,Medsize," $11,790 "
RB50392,Washington,Basic,Master,Unemployed,F,0,Rural,Married,Four-Door Car,Medsize," $7,838 "
UH65059,Arizona,Basic,High School or Below,Employed,M,24188,Suburban,Married,Sports Car,Medsize," $4,306 "
QA87025,Oregon,Basic,Bachelor,Employed,F,28406,Urban,Married,Four-Door Car,Medsize," $5,670 "
TQ13499,Arizona,Premium,College,Employed,M,69833,Suburban,Married,Four-Door Car,Small," $4,732 "
MS41162,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Single,SUV,Medsize," $4,023 "
RB81636,Washington,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $2,275 "
SX26335,Oregon,Extended,College,Employed,F,97732,Urban,Married,Four-Door Car,Medsize," $9,553 "
DS81757,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,Two-Door Car,Large," $2,470 "
OJ94107,Arizona,Premium,Master,Employed,M,50335,Urban,Married,SUV,Medsize," $5,619 "
LP84436,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,Sports Car,Medsize," $9,047 "
LM19287,Oregon,Extended,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Large," $3,732 "
YC43143,Arizona,Extended,High School or Below,Employed,F,77330,Rural,Married,Four-Door Car,Medsize," $7,988 "
GD83998,Washington,Basic,Bachelor,Employed,M,24495,Suburban,Single,Four-Door Car,Small," $2,659 "
WA25797,Washington,Basic,High School or Below,Employed,M,95697,Rural,Married,Sports Car,Medsize," $8,565 "
PD27940,Arizona,Extended,High School or Below,Disabled,M,26372,Suburban,Married,SUV,Medsize," $4,885 "
BS77946,Arizona,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,SUV,Medsize," $9,753 "
YM50253,California,Basic,Bachelor,Employed,F,89270,Urban,Single,Four-Door Car,Medsize," $2,946 "
NR15332,California,Basic,High School or Below,Employed,M,29757,Suburban,Married,Four-Door Car,Small," $2,581 "
RC62865,Oregon,Extended,College,Employed,M,51814,Rural,Single,Four-Door Car,Medsize," $3,517 "
CC15295,Oregon,Extended,Bachelor,Employed,F,24028,Suburban,Married,Four-Door Car,Small," $9,743 "
KA61892,Arizona,Basic,College,Retired,M,28142,Suburban,Married,Sports Car,Medsize," $3,874 "
OS94884,Arizona,Basic,Bachelor,Employed,F,52705,Rural,Married,Two-Door Car,Large," $7,649 "
ML93326,Washington,Basic,College,Employed,F,84903,Urban,Married,SUV,Medsize," $4,475 "
YL74911,California,Basic,College,Unemployed,F,0,Suburban,Divorced,SUV,Medsize," $8,715 "
JP69864,Washington,Basic,Bachelor,Retired,F,24910,Suburban,Single,Four-Door Car,Medsize," $2,248 "
HL53154,California,Extended,Bachelor,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $7,416 "
RI78966,Oregon,Basic,Master,Medical Leave,M,21876,Suburban,Married,Four-Door Car,Small," $7,771 "
IC13702,California,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $6,968 "
BE10809,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $4,250 "
HT87217,Oregon,Extended,High School or Below,Employed,F,70699,Urban,Divorced,Four-Door Car,Medsize," $19,777 "
TH95618,California,Basic,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $21,343 "
TS19868,California,Basic,College,Medical Leave,M,27501,Suburban,Married,Four-Door Car,Medsize," $2,413 "
LP45550,Oregon,Premium,Doctor,Disabled,F,15897,Urban,Divorced,Four-Door Car,Medsize," $15,364 "
QR87004,Nevada,Basic,College,Employed,F,25141,Rural,Divorced,Four-Door Car,Medsize," $8,457 "
OE75747,Nevada,Basic,College,Unemployed,F,0,Suburban,Married,Four-Door Car,Small," $2,190 "
DX91392,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,Four-Door Car,Medsize," $5,780 "
AB72731,California,Basic,Bachelor,Employed,F,28358,Rural,Married,Sports Car,Medsize," $4,640 "
RU49126,Washington,Basic,College,Employed,F,61846,Rural,Married,SUV,Medsize," $4,465 "
IS12901,Arizona,Basic,Bachelor,Employed,F,90972,Urban,Married,Two-Door Car,Medsize," $5,968 "
IX37561,Washington,Basic,College,Unemployed,F,0,Suburban,Single,Two-Door Car,Medsize," $5,098 "
HH90090,California,Basic,Bachelor,Employed,F,29549,Suburban,Divorced,Sports Car,Small," $4,077 "
IU25463,California,Premium,Bachelor,Unemployed,F,0,Suburban,Married,Four-Door Car,Medsize," $12,253 "
KC11055,Nevada,Extended,Bachelor,Employed,F,39411,Suburban,Married,Luxury Car,Medsize," $16,936 "
PD33979,Oregon,Basic,High School or Below,Employed,M,21709,Suburban,Married,Four-Door Car,Large," $4,892 "
NK71023,Nevada,Extended,Bachelor,Employed,M,67890,Suburban,Single,Four-Door Car,Small," $9,942 "
AB13432,California,Basic,Bachelor,Unemployed,M,0,Suburban,Single,SUV,Medsize," $3,736 "
OZ97704,California,Basic,High School or Below,Employed,F,84311,Suburban,Single,SUV,Small," $13,118 "
XP47431,Arizona,Extended,Bachelor,Employed,F,54507,Suburban,Married,SUV,Medsize," $5,470 "
GK73582,California,Extended,Bachelor,Employed,F,64586,Urban,Single,Four-Door Car,Medsize," $2,979 "
RV98763,Oregon,Extended,College,Employed,M,61709,Urban,Married,Four-Door Car,Medsize," $6,411 "
TR85083,California,Basic,Bachelor,Employed,M,61085,Suburban,Married,Two-Door Car,Medsize," $2,764 "
EO95328,Oregon,Basic,Bachelor,Employed,F,89284,Suburban,Married,Two-Door Car,Small," $7,920 "
EN21086,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,Four-Door Car,Small," $6,889 "
YL83902,Washington,Extended,Bachelor,Employed,F,31686,Suburban,Married,Four-Door Car,Small," $3,274 "
EH41854,Washington,Extended,High School or Below,Unemployed,F,0,Suburban,Single,Two-Door Car,Medsize," $23,706 "
MW70227,California,Extended,College,Employed,M,20396,Suburban,Married,Four-Door Car,Medsize," $6,047 "
SL22297,California,Premium,Master,Disabled,F,27679,Suburban,Single,SUV,Medsize," $11,140 "
RV14138,Nevada,Extended,Bachelor,Retired,F,23904,Suburban,Single,SUV,Medsize," $4,334 "
ZX64745,California,Basic,College,Unemployed,M,0,Suburban,Single,SUV,Medsize," $7,923 "
FL34139,California,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $3,688 "
TS11219,California,Basic,College,Unemployed,M,0,Suburban,Single,SUV,Medsize," $12,067 "
XX12304,California,Basic,College,Employed,F,64459,Urban,Married,Four-Door Car,Medsize," $2,925 "
BG76355,Washington,Extended,Bachelor,Employed,F,68964,Rural,Married,Four-Door Car,Medsize," $6,274 "
IP66913,California,Extended,High School or Below,Employed,M,78108,Suburban,Single,Two-Door Car,Small," $3,887 "
XN16891,Arizona,Basic,College,Employed,M,81097,Suburban,Divorced,Four-Door Car,Small," $2,913 "
KY33386,Washington,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,Sports Car,Medsize," $8,007 "
CO44221,California,Basic,College,Employed,M,98473,Suburban,Married,Four-Door Car,Medsize," $2,930 "
LK60013,Oregon,Basic,Bachelor,Employed,F,97431,Suburban,Married,Four-Door Car,Medsize," $5,970 "
DE21533,California,Basic,Bachelor,Employed,M,93870,Suburban,Divorced,Four-Door Car,Medsize," $5,473 "
YS94121,Nevada,Basic,High School or Below,Employed,M,50366,Suburban,Divorced,Four-Door Car,Small," $5,645 "
UK68427,Washington,Extended,High School or Below,Employed,M,34498,Suburban,Single,Two-Door Car,Small," $6,369 "
TE49565,Oregon,Basic,College,Disabled,F,16552,Suburban,Married,SUV,Small," $11,834 "
RA88421,Oregon,Extended,College,Employed,F,26787,Suburban,Married,Four-Door Car,Medsize," $6,121 "
KQ51983,Nevada,Basic,College,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $5,159 "
RI24911,Arizona,Basic,College,Employed,M,60920,Urban,Single,Two-Door Car,Medsize," $7,507 "
KO26461,Arizona,Extended,High School or Below,Employed,M,41520,Urban,Married,Four-Door Car,Medsize," $32,270 "
HI14283,Oregon,Premium,Bachelor,Unemployed,F,0,Suburban,Married,SUV,Small," $5,657 "
PT50227,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Married,Two-Door Car,Medsize," $5,062 "
BH36570,California,Basic,Bachelor,Employed,M,72208,Suburban,Married,Two-Door Car,Small," $5,913 "
TX17484,California,Basic,Bachelor,Employed,F,53863,Rural,Married,Four-Door Car,Large," $15,182 "
AO87348,Washington,Basic,College,Unemployed,M,0,Suburban,Single,Four-Door Car,Small," $2,051 "
DE55857,Washington,Basic,Bachelor,Employed,F,64997,Suburban,Single,Four-Door Car,Small," $2,465 "
CN24514,Arizona,Basic,College,Employed,F,46618,Rural,Married,Four-Door Car,Large," $8,120 "
HP36979,California,Extended,College,Employed,M,49988,Suburban,Married,Two-Door Car,Large," $6,409 "
PP40919,California,Extended,College,Unemployed,F,0,Suburban,Single,Two-Door Car,Medsize," $2,377 "
HO61691,Arizona,Basic,Bachelor,Employed,F,72006,Suburban,Divorced,Four-Door Car,Medsize," $5,095 "
BS13062,Arizona,Extended,High School or Below,Unemployed,F,0,Suburban,Married,Four-Door Car,Small," $25,755 "
HR10526,California,Basic,Master,Employed,M,44320,Suburban,Married,Four-Door Car,Medsize," $8,045 "
IA63417,Arizona,Premium,High School or Below,Retired,F,19782,Suburban,Divorced,Two-Door Car,Medsize," $4,002 "
BH35016,Nevada,Basic,Bachelor,Employed,F,63933,Suburban,Divorced,Two-Door Car,Medsize," $16,706 "
PK52952,Arizona,Basic,Doctor,Employed,M,28224,Suburban,Single,SUV,Medsize," $8,544 "
OD76309,Washington,Basic,College,Retired,F,21073,Suburban,Divorced,SUV,Small," $7,805 "
IL28481,Oregon,Extended,Bachelor,Employed,M,63243,Urban,Married,Four-Door Car,Large," $6,113 "
GY55092,Nevada,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,SUV,Medsize," $4,773 "
UF33451,Oregon,Extended,Bachelor,Employed,F,94827,Urban,Married,SUV,Medsize," $10,979 "
CF15558,California,Basic,Master,Employed,F,39161,Urban,Married,Two-Door Car,Small," $5,004 "
JM62924,Washington,Extended,Bachelor,Employed,M,37534,Suburban,Married,Four-Door Car,Medsize," $13,223 "
QX45933,California,Basic,Bachelor,Unemployed,M,0,Suburban,Married,Four-Door Car,Small," $17,840 "
JI71369,California,Basic,College,Employed,F,30110,Rural,Married,Four-Door Car,Medsize," $5,106 "
JU93290,Arizona,Basic,College,Medical Leave,F,21708,Suburban,Divorced,Four-Door Car,Medsize," $17,931 "
GU66096,Arizona,Basic,High School or Below,Employed,M,94731,Suburban,Married,Four-Door Car,Medsize," $5,457 "
UC33108,California,Extended,Bachelor,Employed,M,32375,Suburban,Married,Four-Door Car,Small," $6,564 "
XW90265,Arizona,Basic,Bachelor,Employed,F,81676,Suburban,Married,Two-Door Car,Small," $5,774 "
UI64281,Nevada,Basic,Master,Medical Leave,F,20832,Rural,Married,Two-Door Car,Medsize," $22,856 "
AE98193,Washington,Basic,High School or Below,Unemployed,M,0,Suburban,Single,SUV,Medsize," $7,859 "
AZ74055,Oregon,Premium,High School or Below,Employed,M,52405,Suburban,Married,Four-Door Car,Medsize," $4,116 "
XS76911,Arizona,Extended,High School or Below,Unemployed,F,0,Suburban,Married,Sports Car,Small," $5,030 "
AY40674,Washington,Extended,Bachelor,Employed,F,26583,Suburban,Married,SUV,Medsize," $4,821 "
DJ51510,Arizona,Premium,High School or Below,Employed,F,70435,Rural,Married,Four-Door Car,Medsize," $9,322 "
VM58985,California,Extended,College,Unemployed,M,0,Suburban,Single,Two-Door Car,Medsize," $16,728 "
OH60605,Oregon,Extended,High School or Below,Employed,F,39679,Suburban,Married,Two-Door Car,Medsize," $3,653 "
UO98052,Nevada,Extended,College,Unemployed,M,0,Urban,Single,Four-Door Car,Medsize," $6,159 "
NC53424,California,Basic,Bachelor,Unemployed,M,0,Suburban,Married,Two-Door Car,Medsize," $4,376 "
LQ13873,Nevada,Basic,High School or Below,Employed,M,53565,Suburban,Married,Four-Door Car,Small," $5,569 "
LA97014,Washington,Basic,Bachelor,Employed,M,37574,Suburban,Married,Two-Door Car,Medsize," $2,577 "
NB79936,Washington,Premium,Bachelor,Employed,M,48259,Rural,Single,Two-Door Car,Medsize," $8,347 "
NT89061,Arizona,Extended,High School or Below,Employed,F,78532,Suburban,Married,Four-Door Car,Medsize," $6,324 "
ZG48513,California,Basic,Bachelor,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $4,707 "
JQ59145,California,Basic,High School or Below,Unemployed,M,0,Suburban,Married,Sports Car,Medsize," $8,093 "
FE84989,Washington,Basic,College,Employed,M,72672,Urban,Married,Four-Door Car,Large," $5,036 "
JT52858,Oregon,Premium,Bachelor,Employed,F,99002,Suburban,Married,Four-Door Car,Medsize," $9,028 "
MC62068,California,Extended,High School or Below,Employed,M,79494,Urban,Married,Four-Door Car,Large," $7,289 "
EU27538,Oregon,Extended,Master,Employed,M,35704,Rural,Married,Luxury Car,Medsize," $18,042 "
US23612,Oregon,Premium,High School or Below,Disabled,F,26049,Rural,Married,Two-Door Car,Large," $9,102 "
RK96223,California,Basic,College,Employed,M,52369,Suburban,Married,SUV,Medsize," $12,942 "
FM46980,Arizona,Basic,College,Employed,M,41770,Suburban,Married,Four-Door Car,Small," $5,721 "
RF61565,California,Basic,College,Employed,M,31911,Suburban,Married,Four-Door Car,Medsize," $2,637 "
VI14730,Oregon,Basic,High School or Below,Retired,M,19683,Suburban,Married,Sports Car,Medsize," $8,383 "
YR34119,Washington,Basic,College,Employed,F,30916,Rural,Married,SUV,Small," $31,162 "
RR77985,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $2,888 "
TM23514,Oregon,Extended,College,Employed,M,60145,Urban,Single,SUV,Medsize," $10,273 "
MQ68407,Oregon,Premium,Bachelor,Employed,F,63774,Rural,Divorced,Four-Door Car,Medsize," $4,376 "
FY56083,Oregon,Basic,Bachelor,Employed,M,37057,Rural,Married,Four-Door Car,Small," $4,720 "
UA94723,Oregon,Basic,High School or Below,Employed,F,58577,Urban,Married,SUV,Medsize," $4,428 "
DE34457,Oregon,Basic,Doctor,Employed,F,70602,Urban,Married,SUV,Small," $9,417 "
HH30454,Oregon,Premium,Bachelor,Unemployed,M,0,Suburban,Single,SUV,Medsize," $32,655 "
QA17596,California,Extended,Bachelor,Employed,F,60068,Suburban,Married,Two-Door Car,Small," $3,903 "
XI41052,California,Extended,Bachelor,Employed,F,50044,Suburban,Single,SUV,Medsize," $5,457 "
DI30528,California,Basic,Master,Employed,F,36650,Rural,Married,Four-Door Car,Large," $2,725 "
EN61670,Arizona,Basic,Doctor,Employed,F,68931,Urban,Married,Four-Door Car,Medsize," $5,332 "
BQ51587,California,Basic,College,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $5,412 "
JE21522,California,Extended,Bachelor,Employed,M,39266,Suburban,Married,Four-Door Car,Medsize," $9,587 "
WS47147,California,Basic,College,Unemployed,M,0,Suburban,Married,SUV,Medsize," $22,104 "
ZA64638,Nevada,Extended,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Small," $9,765 "
QW87316,Oregon,Basic,College,Employed,F,39035,Urban,Divorced,Four-Door Car,Medsize," $2,651 "
IC43478,California,Extended,Bachelor,Employed,M,34923,Suburban,Single,Two-Door Car,Medsize," $11,264 "
TE34064,California,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $2,169 "
YM18992,California,Basic,College,Employed,F,24506,Suburban,Divorced,Two-Door Car,Medsize," $2,835 "
PD55753,Oregon,Extended,High School or Below,Unemployed,M,0,Suburban,Married,Four-Door Car,Medsize," $8,930 "
KU56006,Arizona,Basic,College,Employed,F,52220,Suburban,Married,Four-Door Car,Small," $5,536 "
MJ69973,Arizona,Basic,High School or Below,Unemployed,M,0,Suburban,Married,Two-Door Car,Medsize," $2,841 "
TW43626,California,Basic,College,Employed,M,53554,Suburban,Married,Four-Door Car,Large," $8,083 "
ZW84453,Arizona,Basic,Bachelor,Unemployed,F,0,Rural,Married,Four-Door Car,Medsize," $5,116 "
HO29524,California,Extended,College,Employed,M,68205,Rural,Married,Two-Door Car,Medsize," $3,035 "
VE89726,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,SUV,Medsize," $8,025 "
GE87503,California,Premium,High School or Below,Employed,M,53690,Suburban,Married,SUV,Small," $18,211 "
PX90263,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Single,Four-Door Car,Medsize," $5,122 "
NI17718,California,Basic,High School or Below,Unemployed,F,0,Suburban,Single,Four-Door Car,Medsize," $2,150 "
FY32213,California,Basic,High School or Below,Employed,F,74454,Suburban,Single,Four-Door Car,Medsize," $5,595 "
RZ13254,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,Four-Door Car,Large," $7,563 "
GN45013,Oregon,Basic,High School or Below,Medical Leave,M,29664,Suburban,Married,Four-Door Car,Medsize," $5,386 "
UB16654,Washington,Basic,Master,Disabled,M,15680,Urban,Divorced,Four-Door Car,Medsize," $4,719 "
KU84464,Nevada,Extended,Bachelor,Employed,F,47272,Rural,Married,Four-Door Car,Medsize," $9,423 "
RO30676,California,Premium,College,Disabled,F,23827,Rural,Married,Four-Door Car,Medsize," $7,763 "
HR85211,Washington,Basic,Master,Employed,F,89879,Rural,Married,Two-Door Car,Medsize," $5,123 "
